Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,14.3624414710737,0.426354776777345,12.7522870926697,5.60074465863221,2.72454336219565,1.45131466066431,2.26031420279821,2.6470032027451,1.18922812944517,3.91160341625552,-2.35110067203466,-20.7388393676343,-6.24017199240269,2.26694373649188,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,560.621505463146,606.694676337726,651.417134470046,637.087099117099,625.054941813938,565.569730408751,522.082215583898,525.469770891619,491.337221382603,496.6025042585,510.787063366811,356.496214115892,357.261152798144,413.757894705303,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,28284089,29347708,30560034,31622704,32792523,33831764,34700612,35688935,36743039,37856121,39068979,40000412,40578842,41454761,42647492
Afghanistan,AFG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.4794499874115,3.4620099067688,2.60419988632202,3.45445990562439,3.69521999359131,3.2558000087738,4.54397010803223,4.34319019317627,..,..,..,..,..,..,..
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.56967163,8.56190777,7.89716864,8.80596447,9.52887821,10.10534763,11.81859016,12.62081718,14.20841885,14.83131981,15.53361416,21.508461,23.0881691,..,..
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,42.7,43.2,69.1,68,89.5,71.5,97.7,97.7,93.4,97.7,97.7,97.7,85.3,85.3,..
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,4,5,5.45455,5.9,7,8.26,11,13.5,16.8,17.6,17.0485,16.5143,17.1917,17.7089,..
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.702,61.25,61.735,62.188,62.26,62.27,62.646,62.406,62.443,62.941,61.454,60.417,65.617,66.035,..
Afghanistan,AFG,"School enrollment, primary (% gross)",SE.PRM.ENRR,103.48560333252,101.542083740234,106.575317382812,107.942840576172,109.829452514648,106.773551940918,106.784042358398,106.54354095459,107.687660217285,109.075309753418,..,..,..,..,..
Afghanistan,AFG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,50.4406204223633,52.4474296569824,54.372859954834,54.8833694458008,54.2936515808105,53.1501083374023,53.4350395202637,55.5364303588867,57.3578491210938,..,..,..,..,..,..
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,23.737,23.948,24.16,24.373,24.587,24.803,25.02,25.25,25.495,25.754,26.026,26.314,26.616,26.933,27.265
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,46.7098945514103,51.4117163747271,72.8854696086536,67.5846651516385,..
Afghanistan,AFG,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,..,..,..,..,..,..,..,..,..,..,11.4556283331357,12.9867036666422,16.6684717100358,15.2435765521019,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.753,7.784,7.856,7.93,7.915,9.052,10.133,11.184,11.196,11.185,11.71,11.994,14.1,13.991,13.295
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.97315442681247,2.46351683915714,0.984129880204108,1.7072283175406,2.24022695382642,2.2277040745779,3.90893551362245,3.28317593330073,3.67141928098908,2.06257790176122,-3.31375636888916,8.96957619074095,4.82669611912765,3.93661689192599,3.96171911223713
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,4149.14469936847,4465.70914328865,4222.3470988913,4420.23461988353,4602.23051443229,3981.72662261867,4168.37544462548,4614.0479692596,5365.48880180298,5460.4305086932,5370.77749956875,6413.28280828537,6846.42669381643,8575.17134637222,10011.6279856667
Albania,ALB,"Population, total",SP.POP.TOTL,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2777689,2745972,2714617
Albania,ALB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,3.17881310743026,3.29533986928598,3.53929996490479,3.18177734553254,3.43796992301941,3.96209001541138,3.61172008514404,3.08201370407389,3.87018990516663,3.325040102005,3.00555992126465,2.72976994514465,3.09153008460998,..
Albania,ALB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.23667669,6.18297672,6.15746212,6.28286266,6.43451118,6.46411896,6.7293272,6.57848787,6.66844559,6.86214113,7.50389433,7.39913177,6.19368076,..,..
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.6,99.7,99.9,99.9,100,100,99.9,99.9,100,100,100,100,100,100,..
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,45,47,49.4,51.8,54.3,56.9,59.6,62.4,65.4,68.5504,72.2377,79.3237,82.6137,83.1356,..
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.414,78.303,78.084,77.995,78.029,78.358,78.643,78.9,79.238,79.467,77.824,76.844,78.769,79.602,..
Albania,ALB,"School enrollment, primary (% gross)",SE.PRM.ENRR,99.8618342722087,101.580273662891,102.067360891559,101.474954848321,105.770581813858,105.688652991606,105.324777401077,105.414970908323,104.568015324639,102.58954115148,100.020970049835,97.1075038284839,96.3712299304757,93.7138120137738,111.511650085449
